Feature,Importance
Feature 24,0.2659034809615387
Feature 388,0.1295499027666234
Feature 208,0.12741275350538245
Feature 351,0.11105685760992874
Feature 625,0.100796673437674
Feature 127,0.08818920409972333
Feature 610,0.08714590246562476
Feature 673,0.05121394075349139
Feature 234,0.013592847056572637
Feature 360,0.006158320546345017
Feature 677,0.0031893042590041957
Feature 411,0.0015816260816362455
Feature 364,0.0014244482497128865
Feature 371,0.0014108857472419055
Feature 16,0.0013618686585669343
Feature 685,0.0006357355494543606
Feature 560,0.0005963548033140224
Feature 324,0.0005026037184366738
Feature 502,0.00048516545113777896
Feature 152,0.00045781636728739494
Feature 228,0.00042975295734714306
Feature 674,0.0003943019000946414
Feature 2,0.0003620587607793921
Feature 210,0.0003312142758960321
Feature 72,0.00031216667457448254
Feature 514,0.0002521046069352916
Feature 158,0.00021287340260732983
Feature 587,0.0001984373887477955
Feature 330,0.000187805515440086
Feature 645,0.0001567387407273111
Feature 439,0.00015322496242090318
Feature 29,0.0001517656737639495
Feature 182,0.00013463400019854678
Feature 274,0.00012228550108050405
Feature 277,0.00011830076359530916
Feature 287,0.00011773507544265731
Feature 532,0.00011667243705952969
Feature 111,0.0001060233250418481
Feature 38,0.00010061686404267393
Feature 615,9.836280105071806e-05
Feature 761,9.457192900438157e-05
Feature 233,9.134426328532389e-05
Feature 468,7.363225319721431e-05
Feature 600,7.35945625524923e-05
Feature 568,6.886587722186721e-05
Feature 592,6.607423954577728e-05
Feature 403,6.211011862667444e-05
Feature 54,5.889358544592877e-05
Feature 727,5.72339519493622e-05
Feature 663,5.409419026905456e-05
Feature 191,5.219594133909104e-05
Feature 56,4.844135666782931e-05
Feature 327,4.778277247256962e-05
Feature 131,4.614346545871558e-05
Feature 624,4.484137952314623e-05
Feature 69,4.322490877036362e-05
Feature 626,4.011049223499164e-05
Feature 318,3.954837629647379e-05
Feature 118,3.924751665818605e-05
Feature 332,3.907725247035474e-05
Feature 256,3.777995549417739e-05
Feature 205,3.648015497087335e-05
Feature 662,3.371802511186765e-05
Feature 627,3.250109087332759e-05
Feature 361,3.2362184969564486e-05
Feature 297,3.0242894751430302e-05
Feature 537,2.7287426961848728e-05
Feature 95,2.54499304751585e-05
Feature 556,2.540093827898516e-05
Feature 77,2.4925653867254753e-05
Feature 133,2.3709516257056086e-05
Feature 143,2.3142478484918563e-05
Feature 376,2.3121922878441796e-05
Feature 715,2.3077180798667134e-05
Feature 609,2.2848232138551216e-05
Feature 477,2.2645004607492177e-05
Feature 607,2.264066556407132e-05
Feature 215,2.2472158736885264e-05
Feature 46,2.2461136265554037e-05
Feature 410,2.2338070963301464e-05
Feature 633,2.2228921684948538e-05
Feature 229,2.1958553263108022e-05
Feature 676,2.1938200267313033e-05
Feature 267,2.1691585393649905e-05
Feature 21,2.0741243963147115e-05
Feature 419,2.0677267699615427e-05
Feature 413,2.0258263899644858e-05
Feature 642,1.991317431681641e-05
Feature 18,1.8618476386746556e-05
Feature 438,1.8272112956365385e-05
Feature 154,1.798577246158062e-05
Feature 232,1.7828940388941948e-05
Feature 7,1.7667185341141217e-05
Feature 605,1.7539539778701356e-05
Feature 202,1.7385840112738095e-05
Feature 730,1.7091973858832693e-05
Feature 250,1.6954257068555666e-05
Feature 184,1.683771355981287e-05
Feature 264,1.668756214240446e-05
Feature 9,1.5770942468537508e-05
Feature 597,1.5691089911188923e-05
Feature 712,1.5619494788068418e-05
Feature 305,1.4321993649336959e-05
Feature 241,1.4321210062401705e-05
Feature 414,1.428442897802659e-05
Feature 741,1.3946925072379469e-05
Feature 655,1.3903794242357986e-05
Feature 68,1.3790116246432414e-05
Feature 270,1.3723307245692063e-05
Feature 634,1.3226183186351833e-05
Feature 671,1.3091990774981994e-05
Feature 33,1.2674667872574632e-05
Feature 742,1.2650060130693647e-05
Feature 709,1.2191012044576515e-05
Feature 224,1.1195855469834687e-05
Feature 536,1.0945519585774743e-05
Feature 446,1.0917605464065783e-05
Feature 753,1.0674205981583013e-05
Feature 398,1.061282230075399e-05
Feature 423,1.0523956031921039e-05
Feature 45,1.0415378905076561e-05
Feature 525,1.0310631822010736e-05
Feature 486,1.0220047633449021e-05
Feature 499,1.005816873483342e-05
Feature 260,9.878646918935331e-06
Feature 109,9.698195658533731e-06
Feature 409,9.66935373134009e-06
Feature 767,9.657030208192023e-06
Feature 510,9.641806115438869e-06
Feature 641,9.613305668340346e-06
Feature 261,9.53765337426373e-06
Feature 661,9.262409067842204e-06
Feature 113,9.134494980034571e-06
Feature 86,9.104490933579963e-06
Feature 554,8.79447114960622e-06
Feature 128,8.789851931073799e-06
Feature 145,8.427668741248319e-06
Feature 84,8.292151999933854e-06
Feature 744,7.987737921099796e-06
Feature 571,7.967437163732238e-06
Feature 432,7.853220011457345e-06
Feature 60,7.840933903958945e-06
Feature 531,7.761176262025685e-06
Feature 307,7.528008297526712e-06
Feature 167,7.50014951606561e-06
Feature 122,7.443407594861098e-06
Feature 751,7.40586410289029e-06
Feature 717,7.295956650071894e-06
Feature 90,7.249253809477011e-06
Feature 110,7.21336027921928e-06
Feature 108,7.206076484289401e-06
Feature 249,7.198842189619325e-06
Feature 752,7.154504605821856e-06
Feature 524,7.135492734439259e-06
Feature 79,6.967950291552151e-06
Feature 199,6.951342591019377e-06
Feature 162,6.9284903079679515e-06
Feature 734,6.904932442070333e-06
Feature 134,6.8984639812154596e-06
Feature 225,6.8892379620391815e-06
Feature 422,6.871657790128592e-06
Feature 471,6.804445541059196e-06
Feature 516,6.733887519266961e-06
Feature 689,6.7329652791175475e-06
Feature 412,6.656352663367328e-06
Feature 582,6.575579532763537e-06
Feature 449,6.565199163210004e-06
Feature 218,6.534051284263928e-06
Feature 226,6.4080007990980105e-06
Feature 217,6.406965635771694e-06
Feature 100,6.390284074214391e-06
Feature 463,6.359624190155094e-06
Feature 714,6.347866598227364e-06
Feature 679,6.3069699678504515e-06
Feature 739,6.260651975326483e-06
Feature 236,6.179387347446335e-06
Feature 52,6.091405975311493e-06
Feature 310,6.076694876549747e-06
Feature 284,6.039065785277356e-06
Feature 454,6.004609040897655e-06
Feature 639,5.919422152651204e-06
Feature 272,5.8950114021523465e-06
Feature 194,5.884430974973512e-06
Feature 262,5.836803488683893e-06
Feature 590,5.804703130906279e-06
Feature 265,5.739232424999259e-06
Feature 756,5.73452293560798e-06
Feature 417,5.672045697762046e-06
Feature 766,5.630198756320142e-06
Feature 156,5.558110009570522e-06
Feature 629,5.543347958621241e-06
Feature 61,5.451007377942473e-06
Feature 280,5.3675050432613525e-06
Feature 15,5.360862202779809e-06
Feature 552,5.234389026296586e-06
Feature 367,5.0650432720361506e-06
Feature 193,5.045681306894331e-06
Feature 211,5.03354980531244e-06
Feature 363,4.999318011335556e-06
Feature 584,4.997786453426122e-06
Feature 20,4.956876024739365e-06
Feature 74,4.949905212376046e-06
Feature 346,4.946734897485517e-06
Feature 380,4.904435055415891e-06
Feature 115,4.895058358051841e-06
Feature 190,4.829955101912605e-06
Feature 102,4.764601303987942e-06
Feature 457,4.761070005188897e-06
Feature 574,4.7346666351022165e-06
Feature 316,4.7182354357265526e-06
Feature 660,4.703925067799577e-06
Feature 684,4.689351273126723e-06
Feature 479,4.671469519745474e-06
Feature 214,4.621529636723696e-06
Feature 209,4.564420722696739e-06
Feature 697,4.561125999205534e-06
Feature 116,4.504645629214818e-06
Feature 258,4.388659012394846e-06
Feature 248,4.38188748252198e-06
Feature 707,4.354923020618733e-06
Feature 620,4.280138155054058e-06
Feature 129,4.242432770383111e-06
Feature 664,4.222989661665353e-06
Feature 119,4.184230007925343e-06
Feature 619,3.996923771587111e-06
Feature 538,3.94649088717162e-06
Feature 17,3.842989101918223e-06
Feature 378,3.7886165587946204e-06
Feature 120,3.7468382028473503e-06
Feature 150,3.7084414625894432e-06
Feature 291,3.631861260862004e-06
Feature 470,3.6310933030006346e-06
Feature 637,3.55942846904698e-06
Feature 223,3.5126814068190118e-06
Feature 657,3.348148917688346e-06
Feature 12,3.323885024700735e-06
Feature 159,3.1858639396161957e-06
Feature 181,3.14493652979549e-06
Feature 500,3.1008830309509316e-06
Feature 126,3.0728433295613346e-06
Feature 82,3.070518875230432e-06
Feature 391,3.038231860946674e-06
Feature 611,2.942031747858781e-06
Feature 594,2.9252941888536888e-06
Feature 404,2.9161356004052293e-06
Feature 490,2.8618120088719906e-06
Feature 603,2.848429748208136e-06
Feature 559,2.8467062427290067e-06
Feature 198,2.8394886477957698e-06
Feature 188,2.834378472264595e-06
Feature 462,2.7723579688192735e-06
Feature 39,2.750465214866408e-06
Feature 306,2.7364807182788955e-06
Feature 427,2.6945914899633597e-06
Feature 13,2.655840019974564e-06
Feature 688,2.6166893759966494e-06
Feature 22,2.6156836241591135e-06
Feature 711,2.6129325085202796e-06
Feature 91,2.5971422233688706e-06
Feature 339,2.562957597373203e-06
Feature 659,2.55545829356773e-06
Feature 304,2.5364986151848814e-06
Feature 201,2.483460188799633e-06
Feature 358,2.4639280755595073e-06
Feature 466,2.423510972209997e-06
Feature 344,2.4185020573221355e-06
Feature 239,2.402543647562799e-06
Feature 3,2.3958740067420353e-06
Feature 1,2.3845432941974204e-06
Feature 266,2.379315811764239e-06
Feature 326,2.377283058479842e-06
Feature 680,2.3419324666364544e-06
Feature 476,2.3323052480541907e-06
Feature 183,2.2745977606606113e-06
Feature 596,2.2634546287615146e-06
Feature 166,2.2559055434671223e-06
Feature 319,2.2471542158603147e-06
Feature 733,2.221045931657363e-06
Feature 649,2.1978754624888535e-06
Feature 456,2.194684613160788e-06
Feature 130,2.166590257566456e-06
Feature 682,2.068960723486857e-06
Feature 527,2.063854098859696e-06
Feature 282,2.0288867919124893e-06
Feature 288,2.019364653023451e-06
Feature 517,1.9972118280779633e-06
Feature 11,1.9722651263273504e-06
Feature 508,1.9588240770545216e-06
Feature 230,1.9422838793308325e-06
Feature 604,1.930739551381412e-06
Feature 197,1.9237760473772165e-06
Feature 455,1.9237317253975025e-06
Feature 394,1.9034635005850484e-06
Feature 443,1.8977985664975634e-06
Feature 483,1.8637723147760448e-06
Feature 472,1.807376149760048e-06
Feature 623,1.7629990066410984e-06
Feature 415,1.7163804256012757e-06
Feature 460,1.7120222199576424e-06
Feature 379,1.7096900034417238e-06
Feature 4,1.698791218983885e-06
Feature 98,1.6343158992060132e-06
Feature 469,1.6159434316423785e-06
Feature 421,1.5658538882698123e-06
Feature 528,1.5437962253448738e-06
Feature 425,1.5034906449582692e-06
Feature 579,1.463343450373935e-06
Feature 212,1.4407061669901849e-06
Feature 758,1.437675271800468e-06
Feature 666,1.345707499322764e-06
Feature 294,1.3401702085959906e-06
Feature 83,1.317949219092063e-06
Feature 153,1.3033162730574582e-06
Feature 557,1.2830841991556976e-06
Feature 491,1.2568403744820836e-06
Feature 42,1.2351016589048734e-06
Feature 616,1.2340519233868037e-06
Feature 644,1.2271087989082948e-06
Feature 99,1.2233161586973162e-06
Feature 464,1.2124600661083658e-06
Feature 509,1.2035499119332858e-06
Feature 731,1.1937020421207023e-06
Feature 444,1.1750153460810271e-06
Feature 323,1.1597251914714343e-06
Feature 377,1.1481862124447023e-06
Feature 271,1.1434606857581143e-06
Feature 635,1.1190542203360277e-06
Feature 389,1.0662896022864666e-06
Feature 675,1.024362103594685e-06
Feature 255,1.0123021444167935e-06
Feature 308,1.0091698868308718e-06
Feature 519,9.534989253473911e-07
Feature 402,9.517258349882503e-07
Feature 370,9.489609108110967e-07
Feature 515,9.350497788995458e-07
Feature 65,9.330019175727203e-07
Feature 275,9.130802999259019e-07
Feature 213,9.031529577612657e-07
Feature 196,8.696218182210096e-07
Feature 638,8.484583185416124e-07
Feature 549,8.44895366782468e-07
Feature 643,8.356587175497019e-07
Feature 14,8.22315682188576e-07
Feature 49,8.216435658840985e-07
Feature 355,8.057139411603795e-07
Feature 392,8.038909711839936e-07
Feature 654,8.027450994178409e-07
Feature 289,8.01682359445461e-07
Feature 487,7.998228101154428e-07
Feature 453,7.834473302111412e-07
Feature 19,7.787527641063116e-07
Feature 544,7.634732258116611e-07
Feature 765,7.110001817838025e-07
Feature 498,7.093262298706311e-07
Feature 381,7.007249712019863e-07
Feature 10,6.94173917830675e-07
Feature 448,6.909497606249908e-07
Feature 325,6.901729969657236e-07
Feature 667,6.782436332025967e-07
Feature 336,6.661652991330222e-07
Feature 585,6.298235827949146e-07
Feature 656,6.218568444745752e-07
Feature 588,6.163509830626917e-07
Feature 447,6.15725908941403e-07
Feature 26,6.095433748337311e-07
Feature 613,5.99350292196643e-07
Feature 254,5.724555997199113e-07
Feature 575,5.687481462394985e-07
Feature 292,5.622959378569233e-07
Feature 356,5.586732891456274e-07
Feature 279,5.583473049264973e-07
Feature 670,5.508742991719542e-07
Feature 286,5.48612368369849e-07
Feature 334,5.43099385706665e-07
Feature 545,5.352126007424423e-07
Feature 244,5.257067135013167e-07
Feature 242,5.22076058259253e-07
Feature 66,4.887015615615244e-07
Feature 243,4.885117556661241e-07
Feature 321,4.7431906034745816e-07
Feature 173,4.6984966965290994e-07
Feature 699,4.4036534498284247e-07
Feature 646,4.206355524608576e-07
Feature 146,4.11225972609406e-07
Feature 748,4.086880702169393e-07
Feature 369,3.9970491935360387e-07
Feature 48,3.987889113897344e-07
Feature 335,3.808526128088336e-07
Feature 92,3.7296203359232997e-07
Feature 163,3.4372042071774004e-07
Feature 426,3.3527657631742156e-07
Feature 546,3.3455666747116793e-07
Feature 268,3.329919267184193e-07
Feature 64,3.3216812029991197e-07
Feature 302,3.319894866428959e-07
Feature 75,3.2626371490752416e-07
Feature 342,3.1248762965860066e-07
Feature 157,2.7513532396971486e-07
Feature 93,2.6438125467512394e-07
Feature 700,2.5233574611380615e-07
Feature 658,2.3950287920160624e-07
Feature 393,2.3630737449837813e-07
Feature 573,2.298534204322076e-07
Feature 648,2.1986397737115042e-07
Feature 257,2.125459024915265e-07
Feature 622,2.124078259521032e-07
Feature 754,2.0708027351209816e-07
Feature 314,2.050158479779342e-07
Feature 569,1.863189716721554e-07
Feature 216,1.7034483273814298e-07
Feature 696,1.6761211701258435e-07
Feature 283,1.6019813722874197e-07
Feature 418,1.5666146821143192e-07
Feature 723,1.5634038008665863e-07
Feature 760,1.536285136639049e-07
Feature 221,1.5175049261297337e-07
Feature 206,1.316400434609514e-07
Feature 608,1.1910037305291758e-07
Feature 139,1.1701469338606408e-07
Feature 195,1.1564939111066163e-07
Feature 708,9.124982573197426e-08
Feature 606,9.088392927960899e-08
Feature 581,9.088316497889269e-08
Feature 445,7.86414779231698e-08
Feature 400,7.801947237490047e-08
Feature 533,7.021876387816925e-08
Feature 478,6.801080645448496e-08
Feature 506,6.72761983263888e-08
Feature 353,6.595814713393074e-08
Feature 617,6.313909478918016e-08
Feature 285,5.954399469606439e-08
Feature 563,4.216728542447351e-08
Feature 71,3.750175575077896e-08
Feature 301,3.722895082430859e-08
Feature 155,3.096970922962409e-08
Feature 704,3.006198972246163e-08
Feature 375,2.8595718800844187e-08
Feature 631,2.571488115764274e-08
Feature 251,2.5031677165878596e-08
Feature 630,2.1869890865284e-08
Feature 47,2.0991379853616915e-08
Feature 493,1.9516553167952775e-08
Feature 535,1.8163400926218173e-08
Feature 451,1.5856402456866552e-08
Feature 473,1.2352716703176017e-08
Feature 401,1.1444928208129934e-08
Feature 435,8.401669401297852e-09
Feature 106,6.171645313703273e-09
Feature 762,4.3833849279272004e-09
Feature 25,1.5871975398731583e-09
Feature 475,4.288875426798532e-10
Feature 365,4.0585125535979736e-10
Feature 540,3.2090894226259133e-10
Feature 149,2.6503452875303146e-10
Feature 601,4.6406598814591594e-11
