Feature,Mean
Feature 488,1.0547118733938987e-14
Feature 398,9.87173306062535e-15
Feature 427,7.586524001605236e-15
Feature 59,7.419990547911462e-15
Feature 285,6.8833827526759706e-15
Feature 702,6.809367884367627e-15
Feature 85,6.772360450213455e-15
Feature 762,6.661338147750939e-15
Feature 564,6.411537967210279e-15
Feature 640,6.38378239159465e-15
Feature 394,6.3629657098829284e-15
Feature 107,6.356026815979021e-15
Feature 341,6.35140088670975e-15
Feature 97,6.29126380620922e-15
Feature 328,6.124730352515447e-15
Feature 170,6.087722918361275e-15
Feature 713,6.078471059822732e-15
Feature 595,5.921189464667502e-15
Feature 177,5.551115123125783e-15
Feature 606,5.495603971894525e-15
Feature 10,5.3660779523549235e-15
Feature 712,5.305940871854394e-15
Feature 3,5.292063084046579e-15
Feature 325,5.292063084046579e-15
Feature 667,5.245803791353865e-15
Feature 466,5.2365519328153214e-15
Feature 685,5.144033347429892e-15
Feature 496,5.116277771814263e-15
Feature 625,5.070018479121548e-15
Feature 653,5.070018479121548e-15
Feature 381,5.070018479121548e-15
Feature 18,5.0330110449673766e-15
Feature 558,5.0330110449673766e-15
Feature 409,4.9682480351975755e-15
Feature 603,4.884981308350689e-15
Feature 67,4.884981308350689e-15
Feature 365,4.866477591273603e-15
Feature 537,4.847973874196517e-15
Feature 555,4.6374940924446646e-15
Feature 682,4.588921835117314e-15
Feature 347,4.533410683886056e-15
Feature 424,4.528495634037455e-15
Feature 676,4.51490696680897e-15
Feature 755,4.496403249731884e-15
Feature 241,4.477899532654798e-15
Feature 553,4.4223883814235405e-15
Feature 390,4.366877230192283e-15
Feature 154,4.3298697960381105e-15
Feature 342,4.274358644806853e-15
Feature 148,4.274358644806853e-15
Feature 604,4.255854927729767e-15
Feature 16,4.255854927729767e-15
Feature 21,4.255854927729767e-15
Feature 492,4.232725281383409e-15
Feature 320,4.181840059421423e-15
Feature 253,4.163336342344337e-15
Feature 41,4.144832625267251e-15
Feature 668,4.098573332574536e-15
Feature 312,4.070817756958907e-15
Feature 501,4.052314039881821e-15
Feature 192,4.033810322804736e-15
Feature 707,4.008367711823742e-15
Feature 344,3.9597954544963914e-15
Feature 697,3.895032444726591e-15
Feature 90,3.839521293495333e-15
Feature 658,3.811765717879704e-15
Feature 761,3.793262000802618e-15
Feature 123,3.774758283725532e-15
Feature 542,3.7562545666484466e-15
Feature 212,3.728498991032818e-15
Feature 545,3.700743415417189e-15
Feature 689,3.67298783980156e-15
Feature 522,3.66445878271134e-15
Feature 348,3.6637359812630166e-15
Feature 741,3.6637359812630166e-15
Feature 103,3.6267285471088444e-15
Feature 375,3.6267285471088444e-15
Feature 753,3.608224830031759e-15
Feature 446,3.543461820261958e-15
Feature 708,3.534209961723415e-15
Feature 76,3.515706244646329e-15
Feature 35,3.497202527569243e-15
Feature 291,3.469446951953614e-15
Feature 591,3.4324395177994424e-15
Feature 654,3.4283918296888296e-15
Feature 583,3.4046839421838135e-15
Feature 642,3.3861802251067274e-15
Feature 316,3.3861802251067274e-15
Feature 30,3.3861802251067274e-15
Feature 473,3.3676765080296414e-15
Feature 197,3.309852392163748e-15
Feature 395,3.3029134982598407e-15
Feature 330,3.293661639721298e-15
Feature 295,3.293661639721298e-15
Feature 469,3.2566542055671257e-15
Feature 180,3.219646771412954e-15
Feature 551,3.210394912874411e-15
Feature 83,3.1363800445660672e-15
Feature 429,3.1271281860275244e-15
Feature 671,3.1271281860275244e-15
Feature 435,3.0993726104118955e-15
Feature 157,3.0716170347962666e-15
Feature 439,3.0716170347962666e-15
Feature 224,3.0716170347962666e-15
Feature 428,3.0346096006420944e-15
Feature 202,3.0346096006420944e-15
Feature 235,3.0346096006420944e-15
Feature 329,3.0068540250264655e-15
Feature 318,2.942091015256665e-15
Feature 210,2.932839156718122e-15
Feature 605,2.932839156718122e-15
Feature 423,2.9235872981795788e-15
Feature 362,2.9235872981795788e-15
Feature 366,2.905083581102493e-15
Feature 75,2.89583172256395e-15
Feature 229,2.831068712794149e-15
Feature 597,2.831068712794149e-15
Feature 72,2.7986872079092486e-15
Feature 647,2.7755575615628914e-15
Feature 79,2.7663057030243485e-15
Feature 303,2.7663057030243485e-15
Feature 110,2.7385501274087196e-15
Feature 629,2.7385501274087196e-15
Feature 225,2.7292982688701764e-15
Feature 454,2.7200464103316335e-15
Feature 519,2.7015426932545475e-15
Feature 128,2.6922908347160046e-15
Feature 431,2.6645352591003757e-15
Feature 51,2.6645352591003757e-15
Feature 524,2.6367796834847468e-15
Feature 443,2.627527824946204e-15
Feature 494,2.627527824946204e-15
Feature 510,2.609024107869118e-15
Feature 757,2.599772249330575e-15
Feature 245,2.55351295663786e-15
Feature 703,2.55351295663786e-15
Feature 226,2.5396351688300456e-15
Feature 87,2.5380450056437334e-15
Feature 746,2.535009239560774e-15
Feature 543,2.535009239560774e-15
Feature 477,2.535009239560774e-15
Feature 723,2.535009239560774e-15
Feature 300,2.535009239560774e-15
Feature 579,2.507253663945145e-15
Feature 608,2.4980018054066022e-15
Feature 187,2.479498088329516e-15
Feature 384,2.4424906541753444e-15
Feature 626,2.4424906541753444e-15
Feature 405,2.4265890223122235e-15
Feature 452,2.4239869370982583e-15
Feature 438,2.4108319507387677e-15
Feature 751,2.4054832200211726e-15
Feature 56,2.4054832200211726e-15
Feature 759,2.3314683517128287e-15
Feature 715,2.3314683517128287e-15
Feature 101,2.3314683517128287e-15
Feature 493,2.3037127760972e-15
Feature 748,2.2990868468279282e-15
Feature 417,2.2967738821932926e-15
Feature 34,2.294460917558657e-15
Feature 155,2.266705341943028e-15
Feature 237,2.266705341943028e-15
Feature 463,2.266705341943028e-15
Feature 57,2.2620794126737565e-15
Feature 518,2.2609229303564384e-15
Feature 266,2.257453483404485e-15
Feature 420,2.257453483404485e-15
Feature 763,2.257453483404485e-15
Feature 231,2.2435756955966704e-15
Feature 230,2.238949766327399e-15
Feature 468,2.238949766327399e-15
Feature 450,2.238949766327399e-15
Feature 199,2.169560827288327e-15
Feature 593,2.167247862653691e-15
Feature 637,2.1649348980190553e-15
Feature 586,2.146431180941969e-15
Feature 382,2.146431180941969e-15
Feature 200,2.1279274638648835e-15
Feature 596,2.1279274638648835e-15
Feature 275,2.1279274638648835e-15
Feature 374,2.0978589236146186e-15
Feature 171,2.095545958979983e-15
Feature 309,2.0909200297107114e-15
Feature 358,2.0909200297107114e-15
Feature 655,2.0724163126336257e-15
Feature 680,2.0724163126336257e-15
Feature 204,2.0724163126336257e-15
Feature 234,2.0631644540950824e-15
Feature 724,2.0539125955565396e-15
Feature 571,2.0354088784794535e-15
Feature 739,2.0307829492101823e-15
Feature 645,2.0261570199409107e-15
Feature 317,2.0261570199409107e-15
Feature 371,2.016905161402368e-15
Feature 767,2.016905161402368e-15
Feature 222,2.0030273735945534e-15
Feature 526,1.9752717979789245e-15
Feature 387,1.970645868709653e-15
Feature 436,1.96139401017111e-15
Feature 127,1.96139401017111e-15
Feature 9,1.96139401017111e-15
Feature 158,1.942890293094024e-15
Feature 198,1.942890293094024e-15
Feature 98,1.933638434555481e-15
Feature 471,1.9290125052862095e-15
Feature 46,1.905882858939852e-15
Feature 649,1.9012569296705806e-15
Feature 183,1.896631000401309e-15
Feature 92,1.896631000401309e-15
Feature 567,1.86887542478568e-15
Feature 378,1.86887542478568e-15
Feature 132,1.86887542478568e-15
Feature 650,1.8648277366750676e-15
Feature 691,1.864249495516409e-15
Feature 363,1.8318679906315083e-15
Feature 359,1.8318679906315083e-15
Feature 25,1.8318679906315083e-15
Feature 352,1.8318679906315083e-15
Feature 314,1.8307115083141903e-15
Feature 601,1.8226161320929655e-15
Feature 568,1.8133642735544222e-15
Feature 687,1.806425379650515e-15
Feature 614,1.8041124150158794e-15
Feature 393,1.7994864857466078e-15
Feature 437,1.7994864857466078e-15
Feature 240,1.797173521111972e-15
Feature 357,1.7948605564773365e-15
Feature 0,1.7763568394002505e-15
Feature 725,1.7763568394002505e-15
Feature 47,1.766237619123719e-15
Feature 738,1.7647920162270718e-15
Feature 624,1.7633464133304244e-15
Feature 456,1.7578531223231646e-15
Feature 73,1.7578531223231646e-15
Feature 134,1.7393494052460785e-15
Feature 141,1.7393494052460785e-15
Feature 474,1.7300975467075357e-15
Feature 547,1.7300975467075357e-15
Feature 630,1.7208456881689926e-15
Feature 525,1.7023419710919068e-15
Feature 121,1.6745863954762778e-15
Feature 749,1.6745863954762778e-15
Feature 660,1.6676475015723706e-15
Feature 117,1.6653345369377348e-15
Feature 74,1.6649008560687406e-15
Feature 310,1.646830819860649e-15
Feature 334,1.646830819860649e-15
Feature 24,1.6375789613221059e-15
Feature 151,1.6283271027835629e-15
Feature 504,1.6283271027835629e-15
Feature 174,1.600571527167934e-15
Feature 264,1.572815951552305e-15
Feature 206,1.572815951552305e-15
Feature 166,1.5670335399657158e-15
Feature 326,1.5543122344752192e-15
Feature 590,1.5358085173981333e-15
Feature 641,1.5358085173981333e-15
Feature 670,1.5358085173981333e-15
Feature 137,1.5358085173981333e-15
Feature 189,1.5334955527634975e-15
Feature 684,1.5311825881288617e-15
Feature 213,1.5301706661012087e-15
Feature 699,1.5265566588595902e-15
Feature 399,1.4988010832439613e-15
Feature 478,1.4988010832439613e-15
Feature 260,1.4802973661668755e-15
Feature 194,1.4802973661668755e-15
Feature 512,1.4710455076283324e-15
Feature 572,1.466636418793558e-15
Feature 125,1.4617936490897894e-15
Feature 93,1.4617936490897894e-15
Feature 764,1.4617936490897894e-15
Feature 119,1.4617936490897894e-15
Feature 403,1.4432899320127035e-15
Feature 509,1.4432899320127035e-15
Feature 160,1.4340380734741605e-15
Feature 373,1.4340380734741605e-15
Feature 442,1.4340380734741605e-15
Feature 15,1.4340380734741605e-15
Feature 410,1.4340380734741605e-15
Feature 636,1.433748952894831e-15
Feature 385,1.4317251088395249e-15
Feature 19,1.4247862149356176e-15
Feature 730,1.3993436039546243e-15
Feature 338,1.3877787807814457e-15
Feature 557,1.3785269222429026e-15
Feature 126,1.3739009929736312e-15
Feature 581,1.3692750637043598e-15
Feature 150,1.3692750637043598e-15
Feature 77,1.3692750637043598e-15
Feature 482,1.3692750637043598e-15
Feature 209,1.3692750637043598e-15
Feature 350,1.3692750637043598e-15
Feature 298,1.3692750637043598e-15
Feature 296,1.3692750637043598e-15
Feature 599,1.3646491344350882e-15
Feature 142,1.3600232051658168e-15
Feature 287,1.3600232051658168e-15
Feature 315,1.3507713466272737e-15
Feature 737,1.3345805941848237e-15
Feature 327,1.3345805941848237e-15
Feature 159,1.3322676295501878e-15
Feature 288,1.3322676295501878e-15
Feature 711,1.3322676295501878e-15
Feature 517,1.3316893883915288e-15
Feature 335,1.3312557075225346e-15
Feature 122,1.3302437854948816e-15
Feature 513,1.3276417002809164e-15
Feature 695,1.3276417002809164e-15
Feature 33,1.313763912473102e-15
Feature 276,1.304512053934559e-15
Feature 243,1.304512053934559e-15
Feature 5,1.3021990892999231e-15
Feature 677,1.2998861246652875e-15
Feature 419,1.2975731600306517e-15
Feature 515,1.2952601953960159e-15
Feature 161,1.2952601953960159e-15
Feature 286,1.2721305490496586e-15
Feature 632,1.2721305490496586e-15
Feature 584,1.268661102097705e-15
Feature 752,1.267504619780387e-15
Feature 495,1.267504619780387e-15
Feature 480,1.267504619780387e-15
Feature 623,1.267504619780387e-15
Feature 444,1.2651916551457514e-15
Feature 546,1.2628786905111156e-15
Feature 411,1.2582527612418441e-15
Feature 520,1.2582527612418441e-15
Feature 248,1.2582527612418441e-15
Feature 704,1.239749044164758e-15
Feature 609,1.239749044164758e-15
Feature 549,1.239749044164758e-15
Feature 499,1.2330992708401804e-15
Feature 42,1.2328101502608508e-15
Feature 294,1.2304971856262152e-15
Feature 109,1.2304971856262152e-15
Feature 251,1.2212453270876722e-15
Feature 631,1.2027416100105863e-15
Feature 666,1.2027416100105863e-15
Feature 560,1.2027416100105863e-15
Feature 734,1.2027416100105863e-15
Feature 236,1.1934897514720433e-15
Feature 406,1.1842378929335002e-15
Feature 36,1.1663124170150734e-15
Feature 377,1.1657341758564144e-15
Feature 284,1.1657341758564144e-15
Feature 575,1.1657341758564144e-15
Feature 20,1.1657341758564144e-15
Feature 726,1.1657341758564144e-15
Feature 238,1.133352670971514e-15
Feature 53,1.1310397063368782e-15
Feature 45,1.1287267417022424e-15
Feature 130,1.1287267417022424e-15
Feature 644,1.1287267417022424e-15
Feature 319,1.1287267417022424e-15
Feature 108,1.1102230246251565e-15
Feature 207,1.1102230246251565e-15
Feature 633,1.1021276484039315e-15
Feature 479,1.1009711660866135e-15
Feature 306,1.1009711660866135e-15
Feature 451,1.1009711660866135e-15
Feature 563,1.0986582014519779e-15
Feature 528,1.095766995658683e-15
Feature 135,1.0755285551056204e-15
Feature 321,1.0685896612017132e-15
Feature 497,1.0639637319324418e-15
Feature 31,1.0639637319324418e-15
Feature 181,1.0362081563168128e-15
Feature 475,1.0362081563168128e-15
Feature 643,1.0362081563168128e-15
Feature 536,1.0362081563168128e-15
Feature 694,1.0362081563168128e-15
Feature 733,1.0281127800955876e-15
Feature 146,1.0269562977782698e-15
Feature 211,1.0269562977782698e-15
Feature 716,1.0177044392397268e-15
Feature 646,1.0049831337492303e-15
Feature 26,9.992007221626409e-16
Feature 301,9.992007221626409e-16
Feature 256,9.992007221626409e-16
Feature 462,9.992007221626409e-16
Feature 355,9.992007221626409e-16
Feature 273,9.668192172777406e-16
