Feature,Importance
Feature 127,0.04591305994190086
Feature 364,0.038431294031930324
Feature 681,0.03775443259014247
Feature 673,0.032376251468940354
Feature 228,0.031125162925745166
Feature 148,0.030688021061037064
Feature 351,0.03046044897365136
Feature 155,0.02328564810624467
Feature 416,0.02312563881158306
Feature 587,0.022774544007641336
Feature 113,0.022482541201194507
Feature 341,0.02222186832275709
Feature 360,0.01747756731473144
Feature 16,0.016289186644100354
Feature 625,0.01580776251786976
Feature 234,0.015632042183027023
Feature 698,0.015389596560686631
Feature 310,0.01524506565157234
Feature 169,0.015162801865193323
Feature 715,0.0151075927655832
Feature 608,0.014861948971201036
Feature 116,0.014848782846201383
Feature 52,0.014731009775306756
Feature 739,0.014704250725882828
Feature 483,0.012204558683358988
Feature 72,0.010909523297125372
Feature 580,0.01061612941422923
Feature 125,0.009337931750436887
Feature 24,0.008371263901648156
Feature 371,0.008158649043874039
Feature 610,0.008001752169484927
Feature 388,0.00789574695610468
Feature 182,0.007867747423039018
Feature 62,0.007772361271665821
Feature 568,0.007767781137514348
Feature 735,0.007710237899160072
Feature 515,0.00769622216495004
Feature 536,0.007675159888781223
Feature 552,0.007661985422617545
Feature 152,0.007641629219535697
Feature 718,0.00763701574215676
Feature 56,0.007608866597171206
Feature 620,0.007578637612196192
Feature 259,0.007531739948641801
Feature 439,0.007523882920012865
Feature 410,0.007506293307233998
Feature 403,0.007480067907433523
Feature 623,0.007447644908611317
Feature 88,0.007397081322298393
Feature 158,0.007376082626021621
Feature 565,0.00733963153877962
Feature 533,0.00731366995277685
Feature 157,0.007285350972931518
Feature 40,0.007264917962250026
Feature 679,0.007239900439296671
Feature 344,0.007107029533019382
Feature 685,0.0068243164373486135
Feature 411,0.0064517943759894525
Feature 208,0.006367876853001251
Feature 274,0.006268151859519661
Feature 677,0.0061797194055953075
Feature 695,0.005943859907920434
Feature 2,0.005213838718944047
Feature 131,0.004804336205629345
Feature 37,0.004416072986476738
Feature 363,0.004381521110907507
Feature 645,0.004315204315548066
Feature 481,0.004166096301566608
Feature 438,0.00415544219879704
Feature 307,0.00409509237315712
Feature 303,0.0040096087827316525
Feature 522,0.0038996767423416573
Feature 366,0.0038490281025827726
Feature 633,0.003550517984191948
Feature 124,0.00342440275486444
Feature 690,0.0033690873244423547
Feature 218,0.0027578155578671638
Feature 653,0.0025998553740303426
Feature 205,0.002484732289679846
Feature 697,0.002458355667939051
Feature 421,0.00245322763996907
Feature 406,0.0024159037004661227
Feature 287,0.002408998177125867
Feature 84,0.0023889576877843574
Feature 663,0.002356850272710078
Feature 379,0.002341399114659537
Feature 626,0.0022640081510328057
Feature 92,0.0022299872730411566
Feature 260,0.002206171147332386
Feature 606,0.0022005426602394224
Feature 556,0.0021985758629219044
Feature 639,0.0021981591060237326
Feature 550,0.002179890831282543
Feature 256,0.002175406863555004
Feature 594,0.002166482107500563
Feature 709,0.002118971521743212
Feature 130,0.002111802216167181
Feature 664,0.0021086977293590754
Feature 505,0.0021069973800143652
Feature 204,0.0020827903735277766
Feature 212,0.0020760769250196777
Feature 543,0.002057381600415862
Feature 622,0.0020523365705782622
Feature 51,0.0020384458032003216
Feature 641,0.001969239099346782
Feature 738,0.0019528559645446085
Feature 476,0.0019265165178645016
Feature 432,0.0018311897341919965
Feature 36,0.0018297485648742116
Feature 269,0.0017551113813780023
Feature 339,0.0017105360042873115
Feature 574,0.0016938525771163762
Feature 277,0.0014086923277045929
Feature 730,0.001209304703156704
Feature 675,0.0010391691962962242
Feature 257,0.000773624443751868
Feature 624,0.0006029705884733575
Feature 514,0.0005378008459239423
Feature 348,0.0005252504662952707
Feature 7,0.0005211343875880847
Feature 108,0.0004952865169184711
Feature 327,0.0004899134738719789
Feature 687,0.00044073860079147417
Feature 637,0.00043201654327368577
Feature 618,0.0004130576567580007
Feature 271,0.0003881683943808479
Feature 66,0.0003822116122574819
Feature 607,0.0003691779826526347
Feature 210,0.00034429376650139113
Feature 6,0.0002926857965540502
Feature 468,0.000289977833892719
Feature 457,0.0002883739517965244
Feature 477,0.0002734208323946932
Feature 445,0.00020560962939891603
Feature 584,0.0001929688864128601
Feature 461,0.00018344230417900533
Feature 29,0.00018312994203322435
Feature 203,0.00018290557259512902
Feature 532,0.0001736580320404313
Feature 309,0.000152773439799416
Feature 691,0.00015239772571645343
Feature 546,0.00014965086436540193
Feature 107,0.0001448910637822173
Feature 615,0.00014345910217638887
Feature 236,0.00013660602301566611
Feature 146,0.00013623544870439714
Feature 502,0.00013216396898325225
Feature 578,0.0001314258017278433
Feature 299,0.00012410548726068523
Feature 240,0.0001127331856665534
Feature 187,0.00011055386694516543
Feature 661,0.00010679067411173105
Feature 291,0.00010461135550939184
Feature 512,0.00010313382272642088
Feature 417,0.00010278645908227673
Feature 674,0.00010023039808889156
Feature 765,9.650723484603557e-05
Feature 761,9.124049574575144e-05
Feature 324,8.444913092762159e-05
Feature 458,8.100309198597638e-05
Feature 692,8.074032661003926e-05
Feature 600,7.891239953347972e-05
Feature 561,7.859751814036242e-05
Feature 509,7.266708750991215e-05
Feature 233,7.157529031864928e-05
Feature 82,7.076074431726554e-05
Feature 557,7.024528230064054e-05
Feature 609,7.006976006990217e-05
Feature 332,6.960871261330386e-05
Feature 711,6.943742847336706e-05
Feature 154,6.761403888430233e-05
